Designator,Mid X,Mid Y,Rotation,Layer
C1,156.2815,-93.593,0.0,top
C10,134.7065,-107.818,90.0,top
C11,131.7065,-80.393,0.0,top
C12,139.5065,-89.993,90.0,top
C13,153.1065,-93.593,180.0,top
C14,156.3315,-95.793,0.0,top
C15,154.7065,-83.568,90.0,top
C16,139.3065,-97.393,90.0,top
C17,139.5065,-86.768,90.0,top
C18,160.3065,-90.993,90.0,top
C19,161.9065,-105.793,270.0,top
C2,155.3065,-108.793,270.0,top
C20,163.5065,-105.793,90.0,top
C21,165.9065,-106.793,0.0,top
C22,164.1065,-83.593,270.0,top
C23,153.7065,-108.793,270.0,top
C24,172.2585,-77.593,180.0,top
C25,172.3065,-91.593,180.0,top
C26,172.2515,-106.793,180.0,top
C27,165.5065,-113.393,180.0,bottom
C3,146.7065,-103.193,270.0,top
C30,140.7065,-82.393,180.0,top
C31,137.2065,-79.393,90.0,top
C32,150.9065,-80.793,90.0,top
C33,152.5065,-80.768,90.0,top
C34,135.6065,-79.393,90.0,top
C35,124.7315,-87.593,180.0,top
C4,153.3065,-91.993,180.0,top
C5,148.1315,-93.793,180.0,top
C6,147.1065,-97.793,90.0,top
C7,157.1065,-107.593,270.0,top
C8,148.1065,-95.393,180.0,top
C9,160.3065,-104.218,270.0,top
D1,139.7065,-105.593,0.0,top
D2,139.7065,-104.393,0.0,top
IC1,146.2065,-81.793,180.0,top
J1,124.3065,-99.093,90.0,top
J2,126.312367,-76.5305,180.0,top
J3,157.3865,-75.593,270.0,top
J4,130.2315,-113.593,90.0,top
J5,124.3065,-112.593,90.0,top
J6,132.7665,-75.393,90.0,top
L1,139.9065,-79.693,90.0,top
Q1,186.0995,-111.333,90.0,top
Q2,186.3295,-97.133,90.0,top
Q3,186.1065,-84.133,90.0,top
Q4,191.3065,-106.253,270.0,top
Q5,191.3535,-92.053,270.0,top
Q6,191.3135,-79.053,270.0,top
R1,142.5065,-105.793,0.0,top
R10,173.2515,-113.793,180.0,bottom
R11,173.3065,-99.393,180.0,bottom
R12,173.0565,-86.193,180.0,bottom
R13,150.3065,-78.093,180.0,top
R14,143.9065,-78.093,0.0,top
R15,147.1065,-78.093,0.0,top
R2,142.5065,-104.193,0.0,top
R3,125.9065,-80.993,270.0,top
R4,127.5065,-80.993,270.0,top
R5,151.9065,-84.393,180.0,top
R6,137.0815,-105.393,180.0,top
R7,142.1315,-100.793,180.0,top
R8,158.7065,-91.793,90.0,top
R9,164.7065,-89.193,180.0,top
U1,133.3065,-87.243,270.0,top
U2,150.7065,-88.228,0.0,top
U3,152.7065,-100.993,0.0,top
U4,163.9065,-98.993,90.0,top
U5,129.7665,-101.393,0.0,top
U6,132.9065,-95.393,180.0,top
VR1,138.3065,-112.393,180.0,top
VR2,149.9065,-112.343,180.0,top
VR3,144.1065,-112.343,180.0,top
VR4,163.3065,-77.393,0.0,top
Y1,143.1065,-92.593,90.0,top
